,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,38.876,38.71,38.322,37.643,36.653,35.967,35.194,34.302,33.187,32.819,32.39,31.595,32.786,31.861,32.456,32.012,32.74,33.209,34.416,36.23,37.566,40.015,41.661,44.916,47.942,50.86,50.842,51.087,51.104,51.011,51.047,50.905,50.91,51.115,50.99,51.01,50.909,51.03,51.081,51.239,51.045,50.861,50.949,51.128,50.946,50.867,51.032,50.86,50.905,50.948
16,39.6,38.514,38.15,37.809,36.631,35.469,35.253,33.35,32.421,32.74,32.429,31.593,31.621,31.105,31.105,31.625,32.306,32.792,34.024,35.414,36.767,39.114,40.551,43.16,46.302,48.749,52.009,52.069,51.928,51.876,52.01,51.985,52.142,52.084,52.054,52.028,51.916,51.934,51.98,51.892,51.869,52.154,51.994,51.79,51.931,52.076,51.917,52.08,51.957,51.882
17,38.813,38.851,38.213,37.952,36.94,35.836,35.849,34.073,33.591,32.768,32.064,31.751,31.74,31.24,30.283,31.1,31.199,31.996,33.17,34.409,36.111,37.862,40.143,41.997,44.391,46.747,49.732,53.021,52.947,53.094,52.872,53.06,52.881,53.105,52.945,52.899,52.953,52.821,52.863,53.041,52.867,52.896,52.941,52.972,53.13,52.978,52.851,52.954,53.018,52.898
18,39.592,37.552,37.919,37.664,36.983,37.053,36.114,35.846,33.379,33.199,33.172,31.71,32.043,31.453,31.525,31.397,31.372,31.495,32.611,34.374,35.74,36.985,38.654,40.868,42.381,45.44,47.63,50.915,54.074,54.024,54.042,53.937,54.074,53.895,53.964,54.099,53.819,53.873,54.034,53.916,53.915,53.995,54.025,54.023,54.215,53.834,53.922,53.868,53.845,53.804
19,38.78,38.414,37.32,37.778,37.372,37.387,35.767,35.741,33.586,34.171,32.44,33.381,31.557,31.823,31.752,31.848,31.664,32.067,32.264,33.421,35.211,37.149,38.277,40.169,41.319,43.707,46.35,48.541,51.461,54.914,54.87,54.935,54.948,55.028,54.722,55.112,54.93,54.797,54.983,55.062,55.058,55.018,54.833,55.027,54.834,54.97,55.085,55.138,54.947,55.005
20,38.606,38.158,38.996,39.183,37.069,37.098,35.907,35.477,34.05,33.507,34.062,33.327,32.524,32.68,32.182,32.145,32.969,32.859,33.135,33.36,34.999,36.151,37.313,39.123,40.545,43.543,45.106,47.237,50.046,52.753,55.93,55.895,56.026,55.998,55.827,56.109,56.063,55.86,56.035,55.803,55.89,55.899,55.958,56.165,55.952,56.227,55.859,56.032,55.743,56.237
21,38.61,38.712,38.414,38.039,37.506,35.985,36.032,36.101,34.665,34.526,33.824,33.19,33.905,33.471,32.512,32.962,32.973,33.633,33.596,34.23,34.428,36.446,36.904,38.479,40.598,41.905,44.002,46.088,47.745,51.043,54.142,56.732,57.02,56.946,56.945,57.089,56.854,56.971,56.88,56.949,56.946,56.822,56.809,56.891,57.012,56.877,57.048,56.89,56.934,57.05
22,39.607,38.551,38.339,37.554,37.162,36.827,36.776,35.922,35.074,35.702,34.854,33.454,33.213,33.043,33.105,33.341,33.622,34.042,34.016,34.396,35.625,35.466,36.862,38.365,39.197,41.148,43.235,45.27,46.497,49.025,52.232,55.184,57.828,57.993,57.998,57.994,57.992,57.976,57.978,57.82,58.0,57.907,58.067,57.932,58.066,58.147,58.11,58.051,58.078,57.955
23,39.019,38.014,38.739,37.265,37.959,36.637,36.081,36.081,34.321,35.386,34.134,33.609,33.51,33.533,33.412,33.575,33.679,34.529,34.755,35.25,35.804,35.979,36.317,37.982,39.351,40.908,42.148,44.179,46.16,47.886,50.003,53.121,55.341,59.001,58.871,59.022,58.979,59.153,59.072,58.974,58.947,58.863,59.048,59.163,59.169,59.105,59.16,59.094,59.006,58.954
24,39.258,38.981,37.172,37.24,36.542,36.475,35.897,35.802,35.26,34.232,33.762,34.158,34.192,33.65,33.826,33.305,33.799,34.405,34.934,35.642,36.387,36.619,37.207,37.431,38.676,40.367,41.281,43.211,44.741,47.39,48.862,51.657,54.228,56.626,59.893,59.923,59.936,60.028,59.829,59.96,60.06,59.966,59.866,60.059,59.978,59.896,59.857,60.024,59.898,60.032
